ua;projeto;npragas;idade;nha;vha;gha;d;h;v;g;dg;hdom;sitio;classe
24;Campo Alto;2;12;1444;133,96;18,96;12,4;13,69;0,0927;0,013;12,9;15,6;12;Classe II
149;Campina;0;7,6;2246;65,9;11,81;7,9;10,5;0,03;0,01;8,2;12,56;12;Classe II
89;Campina;2;8,5;1900;77,02;12,67;8,8;11,74;0,0405;0,007;9,2;13;12;Classe II
114;Lageadinho;4;4,5;3600;49,14;8,29;8,6;11,6;0,0369;0,006;8,9;13;14;Classe I
5;Campo Alto;0;10;1050;76,96;13,14;12;11,29;0,0733;0,013;12,6;12,58;10;Classe III
35;Perdidinha;3;5,5;1593;40,49;7,58;7,6;10,66;0,0254;0,005;7,8;11,07;12;Classe II
105;Lageadinho;0;4,5;2800;76,78;18,67;8,8;7,95;0,0274;0,007;9,2;6;10;Classe III
138;Lageadinho;4;4;4185;61,47;13,59;6;8,46;0,01;0;6,4;10,2;14;Classe I
93;Perdidinha;1;6,5;2800;84,66;15,71;8,2;10,39;0,0302;0,006;8,5;12;12;Classe II
117;Perdidinha;3;5,5;2700;88,19;16,94;8,7;10,3;0,0327;0,006;8,9;10,5;10;Classe III
71;Campina;2;7;2074;90,96;14,83;9,2;12,03;0,0439;0,007;9,5;12,89;12;Classe II
19;Perdidinha;2;6,5;1963;72,56;11,23;8,3;12,61;0,037;0,006;8,5;13,87;14;Classe I
36;Campo Alto;3;18;407;134,3;14,24;20,6;18,75;0,3296;0,035;21,1;20,33;14;Classe I
145;Perdidinha;1;6,3;3692;69,59;13,6;6,6;9,94;0,02;0;6,8;11,17;12;Classe II
49;Perdidinha;4;5;3148;78,76;12,89;7,1;11,99;0,025;0,004;7,2;13,6;14;Classe I
140;Lageadinho;4;4,8;2369;59,58;9,85;7,1;11,54;0,03;0;7,3;13,38;14;Classe I
120;Perdidinha;4;5;4100;78,19;17,47;7,2;8,73;0,0191;0,004;7,4;10;12;Classe II
108;Lageadinho;2;3;4400;77,67;18,57;7,1;8,28;0,0177;0,004;7,3;8,5;12;Classe II
119;Lageadinho;1;4;2200;89,99;20,63;10,3;8,52;0,0409;0,009;10,9;9,5;12;Classe II
91;Lageadinho;3;3,5;4100;84,44;17,44;7,2;9,41;0,0206;0,004;7,4;10;14;Classe I
53;Perdidinha;1;5;2556;85,52;14,27;8,2;11,8;0,0335;0,006;8,4;13,17;14;Classe I
129;Lageadinho;4;1;24431;;;;1,67;;;;4,34;12;Classe II
112;Campina;1;8;2300;114,7;19,4;9,8;10,98;0,0499;0,008;10,4;13;12;Classe II
97;Perdidinha;0;5,5;2400;174,02;27,13;11,1;11,58;0,0725;0,011;12;15,5;14;Classe I
2;Campo Alto;2;10;1550;94,54;16,32;10,7;10,66;0,061;0,011;11,6;12,88;10;Classe III
40;Perdidinha;2;6,5;2037;105,97;15,64;9,5;13,18;0,052;0,008;9,9;14,7;14;Classe I
44;Perdidinha;2;6,5;1815;59,05;9,79;8;11,81;0,0325;0,005;8,3;13,23;14;Classe I
18;Perdidinha;3;6,5;630;26,03;4,8;9,6;10,73;0,0413;0,008;9,9;10,2;10;Classe III
75;Campina;2;7;2704;84,04;13,8;7,8;11,93;0,0311;0,005;8,1;12,59;12;Classe II
22;Perdidinha;0;6,5;2296;64,46;11,78;7,9;10,91;0,0281;0,005;8,1;11,08;10;Classe III
39;Campo Alto;3;18;481;147,13;16,1;19,9;18,73;0,3056;0,033;20,6;18,6;14;Classe I
23;Perdidinha;2;6,5;2333;86,05;13,25;8,3;12,7;0,0369;0,006;8,5;13,93;14;Classe I
66;Campo Alto;2;12;667;79,05;9,88;12,9;15,27;0,1186;0,015;13,7;17;14;Classe I
14;Campo Alto;0;12;600;54,1;8,26;13;12,42;0,0902;0,014;13,2;15,5;12;Classe II
74;Campina;2;7;2259;97,8;15,48;9;12,32;0,0433;0,007;9,3;14,14;14;Classe I
104;Perdidinha;4;6,5;2200;155,09;24,22;11,1;12,36;0,0705;0,011;11,8;13;14;Classe I
76;Campina;3;7;2963;54,41;11,49;6,9;9,39;0,0184;0,004;7;10,53;10;Classe III
